,FPR,FNR,TPR,"min(FPR,FNR)",min_constant,max_constant
227,0.07250185,0.943,0.05699998,0.07250185,-0.49997294,-0.49997282
228,0.072507404,0.94296664,0.05703336,0.072507404,-0.49997282,-0.4999727
229,0.07252407,0.94295,0.05704999,0.07252407,-0.4999727,-0.49997258
230,0.072537035,0.94295,0.05704999,0.072537035,-0.49997258,-0.49997246
231,0.072551854,0.9429333,0.05706668,0.072551854,-0.49997246,-0.49997234
232,0.07257407,0.9429333,0.05706668,0.07257407,-0.49997234,-0.49997222
233,0.072587036,0.9429167,0.05708331,0.072587036,-0.49997222,-0.4999721
234,0.072601855,0.9429,0.057099998,0.072601855,-0.4999721,-0.499972
235,0.07261481,0.9429,0.057099998,0.07261481,-0.499972,-0.49997187
236,0.07262593,0.9429,0.057099998,0.07262593,-0.49997187,-0.49997175
237,0.072642595,0.9429,0.057099998,0.072642595,-0.49997175,-0.49997163
238,0.07265185,0.94285,0.057150006,0.07265185,-0.49997163,-0.4999715
239,0.07265926,0.94285,0.057150006,0.07265926,-0.4999715,-0.4999714
240,0.07265926,0.9428333,0.057166696,0.07265926,-0.4999714,-0.49997127
241,0.07267037,0.9428,0.057200015,0.07267037,-0.49997127,-0.49997115
242,0.07267963,0.9428,0.057200015,0.07267963,-0.49997115,-0.49997103
243,0.07268518,0.94278336,0.057216644,0.07268518,-0.49997103,-0.4999709
244,0.0726963,0.94276667,0.057233334,0.0726963,-0.4999709,-0.4999708
245,0.07270185,0.94276667,0.057233334,0.07270185,-0.4999708,-0.49997067
246,0.07271111,0.94276667,0.057233334,0.07271111,-0.49997067,-0.49997056
247,0.07271481,0.94275,0.057250023,0.07271481,-0.49997056,-0.49997044
248,0.07272963,0.94275,0.057250023,0.07272963,-0.49997044,-0.49997032
249,0.072738886,0.94273335,0.057266653,0.072738886,-0.49997032,-0.4999702
250,0.07274074,0.94273335,0.057266653,0.07274074,-0.4999702,-0.49997008
251,0.072744444,0.94271666,0.057283342,0.072744444,-0.49997008,-0.49996996
252,0.072753705,0.9427,0.05729997,0.072753705,-0.49996996,-0.49996984
253,0.072759256,0.94268334,0.05731666,0.072759256,-0.49996984,-0.49996972
254,0.07276852,0.94268334,0.05731666,0.07276852,-0.49996972,-0.4999696
255,0.07277778,0.94266665,0.05733335,0.07277778,-0.4999696,-0.49996948
256,0.072783336,0.94266665,0.05733335,0.072783336,-0.49996948,-0.49996936
257,0.07278889,0.94265,0.05734998,0.07278889,-0.49996936,-0.49996924
258,0.07279074,0.94261664,0.05738336,0.07279074,-0.49996924,-0.49996912
259,0.07280185,0.9425833,0.057416677,0.07280185,-0.49996912,-0.499969
260,0.07280555,0.9425667,0.057433307,0.07280555,-0.499969,-0.4999689
261,0.07280926,0.9425667,0.057433307,0.07280926,-0.4999689,-0.49996877
262,0.07282592,0.9425333,0.057466686,0.07282592,-0.49996877,-0.49996865
263,0.07284259,0.9425167,0.057483315,0.07284259,-0.49996865,-0.49996853
264,0.072855555,0.9425167,0.057483315,0.072855555,-0.49996853,-0.4999684
265,0.07287222,0.9425,0.057500005,0.07287222,-0.4999684,-0.4999683
266,0.07287963,0.9424833,0.057516694,0.07287963,-0.4999683,-0.49996817
267,0.07288148,0.9424833,0.057516694,0.07288148,-0.49996817,-0.49996805
268,0.07288704,0.9424833,0.057516694,0.07288704,-0.49996805,-0.49996793
269,0.07289815,0.9424667,0.057533324,0.07289815,-0.49996793,-0.4999678
270,0.07291111,0.9424667,0.057533324,0.07291111,-0.4999678,-0.4999677
271,0.07291482,0.9424667,0.057533324,0.07291482,-0.4999677,-0.49996758
272,0.072925925,0.94245,0.057550013,0.072925925,-0.49996758,-0.49996746
273,0.07292963,0.94243336,0.057566643,0.07292963,-0.49996746,-0.49996734
274,0.07294815,0.94241667,0.057583332,0.07294815,-0.49996734,-0.49996722
275,0.0729537,0.9424,0.05760002,0.0729537,-0.49996722,-0.4999671
276,0.07296296,0.94235,0.05765003,0.07296296,-0.4999671,-0.49996698
277,0.07296852,0.94233334,0.05766666,0.07296852,-0.49996698,-0.49996686
278,0.072975926,0.94233334,0.05766666,0.072975926,-0.49996686,-0.49996674
279,0.07299815,0.94233334,0.05766666,0.07299815,-0.49996674,-0.49996662
280,0.07300556,0.94233334,0.05766666,0.07300556,-0.49996662,-0.4999665
281,0.07301111,0.94233334,0.05766666,0.07301111,-0.4999665,-0.49996638
282,0.073016666,0.94233334,0.05766666,0.073016666,-0.49996638,-0.49996626
283,0.07302407,0.94233334,0.05766666,0.07302407,-0.49996626,-0.49996614
284,0.07303333,0.94231665,0.05768335,0.07303333,-0.49996614,-0.49996603
285,0.07304444,0.94231665,0.05768335,0.07304444,-0.49996603,-0.4999659
286,0.0730537,0.94231665,0.05768335,0.0730537,-0.4999659,-0.4999658
287,0.07305926,0.9423,0.05769998,0.07305926,-0.4999658,-0.49996567
288,0.07306481,0.9423,0.05769998,0.07306481,-0.49996567,-0.49996555
